price_final,model_type,model_variant_final,ext_color_final,mileage_final,age,originality_final,model_type_standardized
66000.0,standard,90 Wagon,White,45000.0,28,Original & Highly Original,standard
39000.0,2.0L Mpi,90 Hard Top,Blue,138419.0,27,Original & Highly Original,gas
40000.0,standard,110 Wagon,White,184300.0,27,Modified,standard
24000.0,standard,90 Hard Top,Silver,198600.0,27,Restored-Modified,standard
75000.0,Pickup 300TDI 5-Speed,130,Black,200.0,28,Modified,300tdi
38000.0,standard,90 Hard Top,Green,138330.0,28,Original & Highly Original,standard
66000.0,standard,110 Wagon,White,75000.0,30,Restored-Original,standard
141000.0,200TDI 5-Speed,110 Wagon,Black,9000.0,31,Restored-Modified,200tdi
91500.0,Convertible,90 Soft Top,Green,72068.0,28,Original & Highly Original,standard
101000.0,Convertible,90 Soft Top,Green,20214.0,29,Original & Highly Original,standard
32000.0,2.0L Mpi 5-Speed,90 Hard Top,Gray,155486.0,27,Restored-Modified,gas
56500.0,300TDI 5-Speed,90 Wagon,Green,152000.0,28,Restored-Modified,300tdi
57888.0,standard,90 Wagon,Green,57928.0,35,Modified,standard
42500.0,2.0L Mpi 5-Speed,90 Hard Top,Gray,55923.0,28,Restored-Original,gas
34000.0,300TDI 5-Speed,90 Hard Top,White,129245.0,28,Restored-Original,300tdi
51000.0,200TDI 5-Speed,90 Hard Top,Gray,400.0,32,Modified,200tdi
32000.0,2.0L Mpi 5-Speed,90 Hard Top,Gray,155486.0,27,Restored-Modified,gas
51500.0,300TDI 5-Speed,110 Wagon,White,149129.0,28,Original & Highly Original,300tdi
58000.0,300TDI 5-Speed,90 Wagon,Orange/Copper,95691.0,27,Restored-Modified,300tdi
69500.0,standard,130,Green,3700.0,29,Original & Highly Original,standard
48000.0,300TDI 5-Speed,90 Soft Top,Gray,126138.0,28,Restored-Original,300tdi
24000.0,standard,90 Hard Top,Silver,198600.0,27,Restored-Modified,standard
76500.0,300TDI 5-Speed,110 Wagon,Silver,111225.0,26,Restored-Modified,300tdi
42000.0,300TDI 5-Speed,90 Wagon,Blue,140430.0,26,Restored-Modified,300tdi
50000.0,2.0L Mpi 5-Speed,90 Hard Top,Brown,114954.0,27,Restored-Modified,gas
