price_final,model_type,model_variant_final,ext_color_final,mileage_final,age,originality_final
71445.0,NAS 5-Speed,90 Soft Top,Yellow,97000.0,29,Restored-Original
24500.0,Diesel Pickup 5-Speed,110 Pickup - Single Cab,Red,21127.0,29,Restored-Modified
26000.0,Diesel Pickup 5-Speed,110 Pickup - Single Cab,Yellow,89477.424,30,Restored-Modified
44159.0,5-Speed,90 Soft Top,Blue,123031.0,34,Restored-Modified
138500.0,Land Rover Defender 110 V8 5-Speed,110 Wagon,Green,1200.0,33,Restored-Modified
20000.0,Land Rover Defender 110 V8 5-Speed,110 Soft Top,Orange/Copper,79866.678743,33,Restored-Modified
35000.0,Diesel Pickup 5-Speed,110 Pickup - Single Cab,Brown,14100087613.0,32,Restored-Modified
24000.0,300TDI 5-Speed,90 Hard Top,Gray,983712.0,28,Restored-Modified
80000.0,200TDI 5-Speed,110 Wagon,Blue,104390.328,31,Restored-Modified
54000.0,NAS 5-Speed,90 Soft Top,Red,98000.0,29,Modified
57000.0,2.0L Mpi 5-Speed,90 Hard Top,Gold/Bronze,135458.878,26,Restored-Modified
52000.0,300TDI 5-Speed,110 Wagon,White,172741.138,27,Restored-Original
24000.0,300TDI 5-Speed,90 Hard Top,Gray,983712.0,28,Restored-Modified
36000.0,200TDI 5-Speed,110 Wagon,Gold/Bronze,107000.0,32,Restored-Original
77999.0,standard,90 Soft Top,Gold/Bronze,283303.0,27,Restored-Modified
42750.0,2.0L Mpi 5-Speed,90 Hard Top,Black,142294.0,27,Restored-Modified
101000.0,200TDI 5-Speed,110 Wagon,Gray,9000.0,31,Restored-Modified
36000.0,200TDI 5-Speed,110 Wagon,Gold/Bronze,107000.0,32,Restored-Original
25000.0,300TDI 5-Speed,90 Hard Top,White,167770.17,26,Restored-Original
62300.0,NAS 5-Speed,90 Soft Top,White,92000.0,29,Original & Highly Original
47000.0,NAS 5-Speed,90 Soft Top,Green,54000.0,29,Original & Highly Original
88995.0,standard,110 Hard Top,Gray,1810.0,31,Restored-Modified
68500.0,standard,110 Wagon,Green,208778.0,28,Restored-Original
55000.0,300TDI 5-Speed,110 Wagon,Green,968.0,26,Restored-Modified
140000.0,300TDI 5-Speed,90 Soft Top,Orange/Copper,2100.0,28,Restored-Modified
46000.0,300TDI 5-Speed,110 Wagon,Green,14700091342.0,27,Restored-Original
78400.0,300TDI 5-Speed,110 Wagon,White,81682.0,30,Original & Highly Original
93500.0,standard,110 Wagon,Gold/Bronze,0.0,30,Restored-Modified
